 ,Mean(ROI),StdDev(ROI),Mean(pix1),StdDev(pix1),X(pix1),Y(pix1),Mean(pix2),StdDev(pix2),X(pix2),Y(pix2),Mean(pix3),StdDev(pix3),X(pix3),Y(pix3),X(ROI),Y(ROI)
1,210.460,8.772,219,0,2508,669,213,0,2736,699,215,0,2634,834,0,0
2,208.646,9.003,205,0,2508,669,221,0,2736,699,208,0,2634,834,0,0
3,204.194,9.164,217,0,2508,669,204,0,2736,699,208,0,2634,834,0,0
4,193.055,9.699,198,0,2508,669,197,0,2736,699,198,0,2634,834,0,0
5,174.939,9.341,185,0,2508,669,175,0,2736,699,178,0,2634,834,0,0
6,151.483,9.132,159,0,2508,669,151,0,2736,699,160,0,2634,834,0,0
7,115.773,8.887,127,0,2508,669,116,0,2736,699,126,0,2634,834,0,0
8,70.428,6.816,77,0,2508,669,75,0,2736,699,76,0,2634,834,0,0
9,23.106,2.822,27,0,2508,669,23,0,2736,699,24,0,2634,834,0,0
10,1.241,0.680,1,0,2508,669,1,0,2736,699,1,0,2634,834,0,0
11,8.521,1.822,12,0,2508,669,8,0,2736,699,10,0,2634,834,0,0
12,52.963,5.310,56,0,2508,669,64,0,2736,699,54,0,2634,834,0,0
13,102.350,7.453,112,0,2508,669,111,0,2736,699,101,0,2634,834,0,0
14,141.939,8.723,152,0,2508,669,149,0,2736,699,139,0,2634,834,0,0
15,170.817,8.596,183,0,2508,669,167,0,2736,699,176,0,2634,834,0,0
16,188.250,8.988,194,0,2508,669,194,0,2736,699,197,0,2634,834,0,0
17,200.502,9.081,206,0,2508,669,210,0,2736,699,197,0,2634,834,0,0
18,207.657,8.978,212,0,2508,669,228,0,2736,699,219,0,2634,834,0,0
19,210.044,8.467,213,0,2508,669,230,0,2736,699,220,0,2634,834,0,0
20,209.248,7.926,217,0,2508,669,204,0,2736,699,213,0,2634,834,0,0
21,203.437,8.668,214,0,2508,669,206,0,2736,699,207,0,2634,834,0,0
22,191.333,8.638,197,0,2508,669,188,0,2736,699,205,0,2634,834,0,0
23,174.922,8.987,183,0,2508,669,172,0,2736,699,181,0,2634,834,0,0
24,151.639,8.791,150,0,2508,669,150,0,2736,699,157,0,2634,834,0,0
25,115.713,8.087,123,0,2508,669,117,0,2736,699,123,0,2634,834,0,0
26,64.464,6.345,69,0,2508,669,67,0,2736,699,74,0,2634,834,0,0
27,17.998,2.579,23,0,2508,669,21,0,2736,699,18,0,2634,834,0,0
28,1.040,0.625,0,0,2508,669,2,0,2736,699,2,0,2634,834,0,0
29,11.702,2.035,12,0,2508,669,12,0,2736,699,13,0,2634,834,0,0
30,54.299,5.374,56,0,2508,669,58,0,2736,699,55,0,2634,834,0,0
31,101.805,7.946,109,0,2508,669,108,0,2736,699,91,0,2634,834,0,0
32,142.231,8.812,149,0,2508,669,153,0,2736,699,142,0,2634,834,0,0
33,171.482,8.642,184,0,2508,669,171,0,2736,699,174,0,2634,834,0,0
34,188.574,8.709,193,0,2508,669,193,0,2736,699,185,0,2634,834,0,0
35,201.388,8.558,207,0,2508,669,217,0,2736,699,204,0,2634,834,0,0
36,207.951,8.576,208,0,2508,669,226,0,2736,699,210,0,2634,834,0,0
37,210.256,8.884,218,0,2508,669,210,0,2736,699,221,0,2634,834,0,0
